Title,Author,Rating,Genres
The Road,Cormac McCarthy,3.99,"['Fiction', 'Science Fiction', 'Dystopia', 'Post Apocalyptic', 'Horror', 'Literature', 'Novels']"
It,Stephen        King,4.24,"['Horror', 'Fiction', 'Thriller', 'Fantasy', 'Classics', 'Audiobook', 'Mystery']"
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,[]
"The Shining (The Shining, #1)",Stephen        King,4.28,"['Horror', 'Fiction', 'Thriller', 'Classics', 'Fantasy', 'Paranormal', 'Mystery']"
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.11,"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Romance', 'Urban Fantasy', 'Fiction']"
Siddhartha,Hermann Hesse,4.07,"['Classics', 'Fiction', 'Philosophy', 'Spirituality', 'Religion', 'Literature', 'Buddhism']"
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,4.15,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Ireland', 'Autobiography', 'Biography Memoir']"
The Complete Stories and Poems,Edgar Allan Poe,4.40,"['Classics', 'Poetry', 'Horror', 'Fiction', 'Short Stories', 'Gothic', 'Mystery']"
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,"['Horror', 'Fantasy', 'Fiction', 'Vampires', 'Paranormal', 'Classics', 'Gothic']"
Don Quixote,Miguel de Cervantes Saavedra,3.90,"['Fiction', 'Classics', 'Literature', 'Spanish Literature', 'Historical Fiction', 'Adventure', 'Novels']"
The Old Man and the Sea,Ernest Hemingway,3.80,"['Classics', 'Fiction', 'Literature', 'Novels', 'School', 'American', 'Adventure']"
The Poisonwood Bible,Barbara Kingsolver,4.10,"['Fiction', 'Historical Fiction', 'Africa', 'Classics', 'Literary Fiction', 'Historical', 'Religion']"
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']"
Atlas Shrugged,Ayn Rand,3.69,"['Fiction', 'Classics', 'Philosophy', 'Politics', 'Literature', 'Science Fiction', 'Novels']"
"The Notebook (The Notebook, #1)",Nicholas Sparks,4.15,"['Romance', 'Fiction', 'Chick Lit', 'Contemporary', 'Adult', 'Classics', 'Adult Fiction']"
"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.38,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Animals', 'Audiobook', 'Middle Grade']"
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Adventure']"
"Moby-Dick or, The Whale",Herman Melville,3.55,"['Classics', 'Fiction', 'Literature', 'Adventure', 'Historical Fiction', 'Novels', 'American']"
A Prayer for Owen Meany,John Irving,4.24,"['Fiction', 'Classics', 'Contemporary', 'Literature', 'Literary Fiction', 'Historical Fiction', 'Novels']"
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Steampunk', 'Historical Fiction', 'Fiction']"
The Stranger,Albert Camus,4.03,"['Classics', 'Fiction', 'Philosophy', 'France', 'Literature', 'Novels', 'French Literature']"
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.43,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Childrens', 'Audiobook', 'Middle Grade']"
The Secret Life of Bees,Sue Monk Kidd,4.09,"['Fiction', 'Historical Fiction', 'Classics', 'Young Adult', 'Historical', 'Contemporary', 'Coming Of Age']"
The Red Tent,Anita Diamant,4.20,"['Historical Fiction', 'Fiction', 'Historical', 'Religion', 'Book Club', 'Feminism', 'Adult']"
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,4.52,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Audiobook', 'Magic', 'Science Fiction Fantasy']"
"The Hobbit (The Lord of the Rings, #0)",J.R.R. Tolkien,4.29,"['Fantasy', 'Fiction', 'Novels', 'Literature', 'Magic', 'Young Adult', 'Childrens']"
The Metamorphosis,Franz Kafka,3.88,"['Classics', 'Fiction', 'Fantasy', 'Philosophy', 'Short Stories', 'Literature', 'School']"
The Master and Margarita,Mikhail Bulgakov,4.29,"['Fiction', 'Russia', 'Fantasy', 'Russian Literature', 'Magical Realism', 'Literature', 'Novels']"
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.95,"['Fantasy', 'Young Adult', 'Fiction', 'Dragons', 'Adventure', 'Magic', 'High Fantasy']"
The Count of Monte Cristo,Alexandre Dumas,4.31,"['Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'France', 'Historical', 'Audiobook']"
Looking for Alaska,John Green,3.96,"['Young Adult', 'Fiction', 'Contemporary', 'Romance', 'Realistic Fiction', 'Coming Of Age', 'Teen']"
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,4.55,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
Middlesex,Jeffrey Eugenides,4.04,"['Fiction', 'Historical Fiction', 'Contemporary', 'LGBT', 'Classics', 'Literary Fiction', 'Queer']"
The Very Hungry Caterpillar,Eric Carle,4.33,"['Picture Books', 'Childrens', 'Fiction', 'Animals', 'Classics', 'Food', 'Counting']"
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,"['Fiction', 'Fantasy', 'Childrens', 'Young Adult', 'Middle Grade', 'Classics', 'Humor']"
The Adventures of Tom Sawyer,Mark Twain,3.92,"['Fiction', 'Classics', 'Adventure', 'Historical Fiction', 'Young Adult', 'Literature', 'Childrens']"
"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,4.24,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Classics', 'Middle Grade', 'Adventure']"
The Curious Incident of the Dog in the Night-Time,Mark Haddon,3.89,"['Fiction', 'Mystery', 'Young Adult', 'Classics', 'Autistic Spectrum Disorder', 'Novels', 'Contemporary']"
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",Carlos Ruiz Zafón,4.30,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy', 'Books About Books', 'Historical', 'Spain']"
Tuesdays with Morrie,Mitch Albom,4.18,"['Nonfiction', 'Memoir', 'Biography', 'Classics', 'Philosophy', 'Inspirational', 'Self Help']"
The Unbearable Lightness of Being,Milan Kundera,4.11,"['Fiction', 'Philosophy', 'Literature', 'Novels', 'Romance', 'Czech Literature', 'Classics']"
A Story of Yesterday,Sergio Cobo,4.56,"['Thriller', 'Spanish Literature', 'Mystery', 'European Literature', 'Fiction', 'Magical Realism', 'Crime']"
The Name of the Rose,Umberto Eco,4.14,"['Fiction', 'Historical Fiction', 'Mystery', 'Historical', 'Literature', 'Italy', 'Italian Literature']"
On the Road,Jack Kerouac,3.61,"['Fiction', 'Travel', 'Literature', 'Classics', 'Novels', 'American', 'Adventure']"
